,data structure,num points,avg cell probes,std cell probes,avg disk accesses,std disk accesses
35,Coors,1000,80.2454,5.591016660679881,22.365599999999997,1.2019522869065977
41,Coors,2000,142.93099999999998,11.24980492670379,36.709900000000005,2.2776774452157267
63,Coors,5000,330.77540000000005,33.02935820296846,78.0328,6.428148504818476
42,Coors,10000,640.0916,60.75331823283399,144.86180000000002,11.89138956135909
56,Coors,20000,1235.8498,89.35062441415842,273.74179999999996,16.967527477508327
21,NaiveStruct,1000,1000.0,0.0,133.6846,0.5464968435407505
103,NaiveStruct,2000,2000.0,0.0,267.3757,0.8975280930298406
57,NaiveStruct,5000,5000.0,0.0,668.478,2.577870729885427
93,NaiveStruct,10000,10000.0,0.0,1336.8784,4.899191902752918
25,NaiveStruct,20000,20000.0,0.0,2671.5498,8.401157432163702
30,RangeTree,1000,83.11699999999999,3.044745802197615,29.6204,1.498815465626105
102,RangeTree,2000,125.40719999999999,4.970839808322128,42.970099999999995,1.551949988455383
83,RangeTree,5000,241.93940000000003,14.500117337456269,78.7206,3.423664016810058
7,RangeTree,10000,424.99920000000003,28.165199914078364,133.45099999999996,5.788414938478401
65,RangeTree,20000,777.7726,39.43221767539838,229.6284,11.537990089265982
52,RangeTree_non_veb,1000,83.11699999999999,3.044745802197615,33.1418,1.9504123153835964
105,RangeTree_non_veb,2000,125.40719999999999,4.970839808322128,47.255700000000004,2.5392083215049523
36,RangeTree_non_veb,5000,241.93940000000003,14.500117337456269,84.0068,5.447534827791375
75,RangeTree_non_veb,10000,424.99920000000003,28.165199914078364,137.9324,9.520027851850013
6,RangeTree_non_veb,20000,777.7726,39.43221767539838,239.80419999999998,12.216185071453358
23,XBST,1000,198.31279999999998,7.267153858285918,35.2278,2.3246926033349005
81,XBST,2000,387.6276,10.26197440608342,67.9694,6.139444386732222
48,XBST,5000,956.2675999999999,28.31417533321427,163.02999999999997,14.502681114194022
5,XBST,10000,1898.1449999999998,57.3823805841131,320.57219999999995,28.245381661432717
74,XBST,20000,3891.225,89.15019903791583,620.2933999999999,12.181593873545474
77,XBST_non_veb,1000,198.31279999999998,7.267153858285918,37.2256,1.580888452737892
37,XBST_non_veb,2000,387.6276,10.26197440608342,68.2283,2.1263374379434676
14,XBST_non_veb,5000,956.2675999999999,28.31417533321427,159.95520000000002,5.432348727760399
0,XBST_non_veb,10000,1898.1449999999998,57.3823805841131,310.79720000000003,10.20958019215285
96,XBST_non_veb,20000,3891.225,89.15019903791583,625.1126,12.15731042624148
