,data structure,memory size,block size,avg cell probes,std cell probes,avg disk accesses,std disk accesses
41,Coors,32,8,142.93099999999998,11.24980492670379,36.709900000000005,2.2776774452157267
19,Coors,64,8,143.6094,10.731378047576186,35.089800000000004,2.1453645844005176
58,Coors,128,8,143.6094,10.731378047576186,33.8562,2.098166270818401
90,Coors,256,16,143.6094,10.731378047576186,19.5202,1.0789778496336242
4,Coors,1024,32,143.6094,10.731378047576186,11.2608,0.5533865737438882
103,NaiveStruct,32,8,2000.0,0.0,267.3757,0.8975280930298406
53,NaiveStruct,64,8,2000.0,0.0,263.9534,0.8045910762617255
79,NaiveStruct,128,8,2000.0,0.0,261.7076,0.7405891573605604
28,NaiveStruct,256,16,2000.0,0.0,131.00560000000002,0.37291124949510834
15,NaiveStruct,1024,32,2000.0,0.0,65.6306,0.17740997717152152
102,RangeTree,32,8,125.40719999999999,4.970839808322128,42.970099999999995,1.551949988455383
70,RangeTree,64,8,125.3452,5.036048272207083,39.5784,2.0182944036983317
43,RangeTree,128,8,125.3452,5.036048272207083,37.6182,2.0415186014337463
88,RangeTree,256,16,125.3452,5.036048272207083,24.578,1.4447444410690777
17,RangeTree,1024,32,125.3452,5.036048272207083,16.6682,1.1589660046783081
105,RangeTree_non_veb,32,8,125.40719999999999,4.970839808322128,47.255700000000004,2.5392083215049523
94,RangeTree_non_veb,64,8,125.3452,5.036048272207083,44.08239999999999,2.6583028984673667
34,RangeTree_non_veb,128,8,125.3452,5.036048272207083,42.1302,2.54920864191223
55,RangeTree_non_veb,256,16,125.3452,5.036048272207083,29.344,1.7669383124489662
85,RangeTree_non_veb,1024,32,125.3452,5.036048272207083,20.4778,1.360253358753435
81,XBST,32,8,387.6276,10.26197440608342,67.9694,6.139444386732222
18,XBST,64,8,387.78,10.902075559268525,63.2562,1.6149251375837854
51,XBST,128,8,387.78,10.902075559268525,61.563,1.5725212240221098
8,XBST,256,16,387.78,10.902075559268525,31.723200000000002,0.8725377928777639
66,XBST,1024,32,387.78,10.902075559268525,14.056999999999999,1.2808346887869646
37,XBST_non_veb,32,8,387.6276,10.26197440608342,68.2283,2.1263374379434676
16,XBST_non_veb,64,8,387.78,10.902075559268525,65.3874,2.286256175497403
68,XBST_non_veb,128,8,387.78,10.902075559268525,63.766,2.36874829815242
10,XBST_non_veb,256,16,387.78,10.902075559268525,34.107600000000005,1.6086661555462647
9,XBST_non_veb,1024,32,387.78,10.902075559268525,16.1512,2.192199739987212
