,block size,box type,data structure,memory size,num cell probes,num disk accesses,num points,num queries
0,8,bigBoxes,NaiveStruct,32,2000000,267522,2000,1000
1,8,smallBoxes,NaiveStruct,32,2000000,250003,2000,1000
2,8,bigBoxes,XBST,32,378573,63504,2000,1000
3,8,smallBoxes,XBST,32,14296,5175,2000,1000
4,8,bigBoxes,XBST_non_veb,32,378573,67275,2000,1000
5,8,smallBoxes,XBST_non_veb,32,14296,8803,2000,1000
6,8,bigBoxes,RangeTree,32,124401,42814,2000,1000
7,8,smallBoxes,RangeTree,32,28907,8681,2000,1000
8,8,bigBoxes,RangeTree_non_veb,32,124401,47533,2000,1000
9,8,smallBoxes,RangeTree_non_veb,32,28907,10008,2000,1000
10,8,bigBoxes,Coors,32,143160,36681,2000,1000
11,8,smallBoxes,Coors,32,14999,6294,2000,1000
12,8,bigBoxes,NaiveStruct,64,2000000,264015,2000,1000
13,8,smallBoxes,NaiveStruct,64,2000000,250003,2000,1000
14,8,bigBoxes,XBST,64,378573,61416,2000,1000
15,8,smallBoxes,XBST,64,14296,4670,2000,1000
16,8,bigBoxes,XBST_non_veb,64,378573,64457,2000,1000
17,8,smallBoxes,XBST_non_veb,64,14296,7667,2000,1000
18,8,bigBoxes,RangeTree,64,124401,39692,2000,1000
19,8,smallBoxes,RangeTree,64,28907,8085,2000,1000
20,8,bigBoxes,RangeTree_non_veb,64,124401,44436,2000,1000
21,8,smallBoxes,RangeTree_non_veb,64,28907,9396,2000,1000
22,8,bigBoxes,Coors,64,143160,35064,2000,1000
23,8,smallBoxes,Coors,64,14999,5815,2000,1000
24,8,bigBoxes,NaiveStruct,128,2000000,261733,2000,1000
25,8,smallBoxes,NaiveStruct,128,2000000,250003,2000,1000
26,8,bigBoxes,XBST,128,378573,60066,2000,1000
27,8,smallBoxes,XBST,128,14296,4167,2000,1000
28,8,bigBoxes,XBST_non_veb,128,378573,62891,2000,1000
29,8,smallBoxes,XBST_non_veb,128,14296,6832,2000,1000
30,8,bigBoxes,RangeTree,128,124401,37798,2000,1000
31,8,smallBoxes,RangeTree,128,28907,7548,2000,1000
32,8,bigBoxes,RangeTree_non_veb,128,124401,42423,2000,1000
33,8,smallBoxes,RangeTree_non_veb,128,28907,8814,2000,1000
34,8,bigBoxes,Coors,128,143160,33863,2000,1000
35,8,smallBoxes,Coors,128,14999,5293,2000,1000
36,16,bigBoxes,NaiveStruct,256,2000000,131011,2000,1000
37,16,smallBoxes,NaiveStruct,256,2000000,125003,2000,1000
38,16,bigBoxes,XBST,256,378573,31029,2000,1000
